MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,BENDING_STIFFNESS,
%,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM,
14.0,0.13,3.58,15570.0,581.0,193.0,49.4,2.127049180327869,
13.1,0.33,3.29,11004.0,616.0,193.0,34.7,1.5032786885245901,
13.3,0.14,3.96,14492.0,573.0,192.0,49.0,1.9906593406593407,
13.6,0.26,6.43,8883.0,620.0,193.0,33.7,1.2135245901639344,
14.6,0.34,2.4,9790.0,781.0,193.0,45.7,1.3374316939890711,
14.2,0.26,6.2,12606.0,525.0,193.0,38.0,1.7221311475409835,
14.4,0.22,4.19,17202.0,627.0,192.0,40.7,2.362912087912088,
13.5,0.24,4.61,13123.0,553.0,191.0,58.8,1.8125690607734806,
13.2,0.28,3.41,14107.0,549.0,193.0,54.0,1.9271857923497269,
14.2,0.58,4.12,13145.0,570.0,192.0,55.0,1.8056318681318682,
14.8,0.23,4.96,11494.0,565.0,193.0,50.9,1.5702185792349728,
14.4,0.23,5.79,11630.0,537.0,192.0,29.3,1.5975274725274726,
14.0,0.22,5.39,11871.0,480.0,192.0,35.4,1.6306318681318681,
13.8,0.19,4.24,10418.0,515.0,193.0,31.2,1.423224043715847,
14.0,0.14,4.7,13819.0,582.0,190.0,57.1,1.9193055555555556,
15.4,0.3,3.54,11469.0,620.0,193.0,41.5,1.5668032786885246,
13.2,0.35,4.52,13731.0,563.0,192.0,28.8,1.8861263736263736,
13.5,0.29,4.29,12104.0,572.0,193.0,33.8,1.653551912568306,
14.4,0.22,3.68,12220.0,535.0,192.0,53.6,1.6785714285714286,
14.1,0.25,4.04,16237.0,627.0,193.0,41.7,2.218169398907104,
14.4,0.35,5.67,11164.0,493.0,193.0,30.3,1.525136612021858,
14.1,0.4,3.68,9882.0,500.0,192.0,17.1,1.3574175824175825,
14.6,0.14,5.28,11866.0,519.0,193.0,30.9,1.6210382513661201,
14.4,0.32,4.09,11045.0,531.0,192.0,33.4,1.5171703296703296,
13.3,0.15,4.55,11579.0,516.0,192.0,32.9,1.590521978021978,
13.8,0.3,5.0,10481.0,449.0,193.0,31.2,1.4318306010928963,
11.3,0.23,5.15,13363.0,532.0,192.0,41.0,1.835576923076923,
12.8,0.54,5.73,13115.0,568.0,192.0,39.2,1.801510989010989,
13.9,0.28,3.0,12559.0,589.0,192.0,61.5,1.7251373626373627,
13.8,0.21,2.9,12572.0,589.0,192.0,55.4,1.726923076923077,
12.9,0.22,4.29,12339.0,567.0,193.0,53.5,1.685655737704918,
13.6,0.22,4.81,11808.0,544.0,192.0,56.9,1.621978021978022,
13.9,0.27,4.17,12292.0,533.0,192.0,31.0,1.6884615384615385,
12.1,0.33,5.05,9641.0,490.0,191.0,37.6,1.3316298342541437,
13.8,0.26,5.89,10502.0,535.0,192.0,21.6,1.4425824175824176,
14.1,0.4,3.91,9556.0,491.0,192.0,33.0,1.3126373626373626,
14.2,0.21,4.54,11461.0,497.0,192.0,36.3,1.5743131868131868,
13.7,0.14,7.58,11228.0,512.0,191.0,46.3,1.550828729281768,
13.5,0.52,3.93,12075.0,505.0,193.0,33.0,1.6495901639344261,
13.6,0.43,5.82,9469.0,457.0,192.0,29.4,1.3006868131868132,
11.5,0.15,5.06,12456.0,589.0,173.0,40.6,1.9104294478527608,
12.7,0.27,6.43,9706.0,467.0,197.0,36.7,1.2975935828877005,
13.6,0.18,5.88,9449.0,457.0,197.0,26.8,1.263235294117647,
14.1,0.22,6.17,12908.0,593.0,197.0,35.6,1.7256684491978609,
14.5,0.34,5.72,11753.0,491.0,196.0,37.5,1.5797043010752687,
14.9,0.32,6.61,12879.0,592.0,197.0,26.2,1.7217914438502673,
13.7,0.24,8.2,9296.0,507.0,197.0,25.0,1.2427807486631015,
13.4,0.25,7.13,9576.0,489.0,197.0,17.1,1.2802139037433156,
14.4,0.19,3.39,13413.0,580.0,196.0,50.9,1.8028225806451612,
13.8,0.62,4.57,13734.0,553.0,196.0,30.2,1.8459677419354839,
14.8,0.37,3.43,12455.0,539.0,198.0,32.7,1.65625,
13.9,0.26,5.57,12128.0,521.0,198.0,33.4,1.6127659574468085,
13.6,0.14,5.71,11296.0,506.0,175.0,29.3,1.7115151515151514,
13.8,0.33,6.73,11302.0,506.0,175.0,32.8,1.7124242424242424,
14.1,0.26,9.0,7166.0,448.0,175.0,18.7,1.0857575757575757,
12.2,0.19,4.42,10936.0,547.0,197.0,19.9,1.4620320855614972,
12.6,0.25,5.29,10041.0,532.0,175.0,22.3,1.5213636363636365,
12.8,0.29,6.7,10689.0,538.0,175.0,28.6,1.6195454545454546,
14.1,0.18,5.56,13652.0,517.0,175.0,47.4,2.0684848484848484,
12.7,0.45,7.38,9358.0,465.0,197.0,23.1,1.2510695187165775,
13.1,0.45,4.9,12433.0,539.0,175.0,31.9,1.8837878787878788,
13.9,0.33,5.28,10721.0,534.0,174.0,28.8,1.6342987804878049,
13.4,0.2,7.33,7821.0,451.0,175.0,21.1,1.185,
